Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-09-09,25.74518478564594,25.921160074679747,25.74518478564594,25.903562545776367,239200,9,3,36,9,1993
1993-09-10,25.973950287790007,26.149925560742517,25.938755233199508,26.132328033447266,106500,10,4,36,9,1993
1993-09-13,26.22029812788418,26.22029812788418,26.149908065795902,26.1499080657959,66900,13,0,37,9,1993
1993-09-14,26.079535187901676,26.079535187901676,25.95635249808028,26.044340133666992,184500,14,1,37,9,1993
1993-09-15,25.938759348784494,26.132332179745575,25.850771698347643,26.114734649658203,101000,15,2,37,9,1993
1993-09-16,26.079532021921285,26.097129546902337,25.991544397016018,26.00914192199707,54300,16,3,37,9,1993
1993-09-17,25.99413742440134,26.011844602483357,25.923308712073272,25.958723068237305,200900,17,4,37,9,1993
1993-09-20,25.994119961619212,26.04724146017838,25.746219635009766,25.746219635009766,57800,20,0,38,9,1993
1993-09-21,25.78165749075332,25.81707185543842,25.39209947921721,25.65770721435547,318200,21,1,38,9,1993
1993-09-22,25.74621852793814,25.905583016763067,25.71080419708816,25.870168685913086,439700,22,2,38,9,1993
1993-09-23,25.941012118283062,26.02954799581986,25.90559776726834,26.0118408203125,88500,23,3,38,9,1993
1993-09-24,25.9764257789065,25.994132953943247,25.905597078759516,25.941011428833008,53500,24,4,38,9,1993
1993-09-27,26.135779803866555,26.224315643310547,26.135779803866555,26.224315643310547,274600,27,0,39,9,1993
1993-09-28,26.24203231047552,26.24203231047552,26.153496438982685,26.17120361328125,158300,28,1,39,9,1993
1993-09-29,26.171204177846086,26.242032876568267,26.04725395508227,26.08266830444336,221000,29,2,39,9,1993
1993-09-30,26.082666350384148,26.13578787044603,25.976423310260383,26.029544830322266,99300,30,3,39,9,1993
1993-10-01,25.99413311957667,26.188912046222,25.95871876927752,26.15349769592285,22700,1,4,39,10,1993
1993-10-04,26.188903808593754,26.188903808593754,26.118075130274363,26.18890380859375,1038500,4,0,40,10,1993
1993-10-05,26.242033571670728,26.242033571670728,26.06496182017497,26.15349769592285,436500,5,1,40,10,1993
1993-10-06,26.17120040076858,26.277443433518656,26.135786056518555,26.135786056518555,209200,6,2,40,10,1993
1993-10-07,26.17120927053949,26.17120927053949,26.047259023656014,26.064966201782227,59400,7,3,40,10,1993
1993-10-08,26.135775199900486,26.153482364670065,25.90558205789594,26.100360870361328,54400,8,4,40,10,1993
